hospital_name,last_updated_on,as_of_date,version,hospital_location,hospital_address,license_number|NJ,financial_aid_policy,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,
VENIPUNCTURE (LOP),3100000085,CDM,301,RC,36415,HCPCS,Facility,Both,,,47,18.8,AETNA,BETTER HEALTH,,,,,,6.815,34.968,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS A ANTIBODY TOTAL,3100000128,CDM,302,RC,86708,HCPCS,Facility,Both,,,161,64.4,AETNA,BETTER HEALTH,,,,,,23.345,23.345,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
AMMONIA.,3100000142,CDM,301,RC,82140,HCPCS,Facility,Both,,,183,73.2,AETNA,BETTER HEALTH,,,,,,26.535,26.535,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
C-REACTIVE PROTEIN,3100000216,CDM,302,RC,86140,HCPCS,Facility,Both,,,108,43.2,AETNA,BETTER HEALTH,,,,,,15.66,15.66,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATIC FUNCTION PANEL QST,3500000001,CDM,300,RC,80076,HCPCS,Facility,Both,,,167,66.8,AETNA,BETTER HEALTH,,,,,,7,24.215,18,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
AMYLASE QST,3500000005,CDM,300,RC,82150,HCPCS,Facility,Both,,,138,55.2,AETNA,BETTER HEALTH,,,,,,20.01,20.01,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HCG TOTAL QN QST,3500000007,CDM,300,RC,84702,HCPCS,Facility,Both,,,220,88,AETNA,BETTER HEALTH,,,,,,31.9,163.68,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
CREATINE KINASE TOTAL QST,3500000014,CDM,300,RC,82550,HCPCS,Facility,Both,,,123,49.2,AETNA,BETTER HEALTH,,,,,,17.835,17.835,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ELECTROLYTE PANEL QST,3500000019,CDM,300,RC,80051,HCPCS,Facility,Both,,,119,47.6,AETNA,BETTER HEALTH,,,,,,17.255,17.255,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
GGT QST,3500000020,CDM,300,RC,82977,HCPCS,Facility,Both,,,121,48.4,AETNA,BETTER HEALTH,,,,,,17.545,17.545,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
GLUCOSE QST,3500000022,CDM,300,RC,82947,HCPCS,Facility,Both,,,48,19.2,AETNA,BETTER HEALTH,,,,,,6.96,6.96,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEMOGLOBIN A1C QST,3500000026,CDM,300,RC,83036,HCPCS,Facility,Both,,,55,22,AETNA,BETTER HEALTH,,,,,,7.975,7.975,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
LIPASE QST,3500000028,CDM,300,RC,83690,HCPCS,Facility,Both,,,132,52.8,AETNA,BETTER HEALTH,,,,,,19.14,19.14,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
MAGNESIUM QST,3500000029,CDM,300,RC,83735,HCPCS,Facility,Both,,,138,55.2,AETNA,BETTER HEALTH,,,,,,20.01,20.01,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PHOSPHATE AS PHOSPHORUS QST,3500000031,CDM,300,RC,84100,HCPCS,Facility,Both,,,80,32,AETNA,BETTER HEALTH,,,,,,11.6,11.6,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
COMPREHENSIVE METABOLIC PANEL QST,3500000044,CDM,300,RC,80053,HCPCS,Facility,Both,,,341,136.4,AETNA,BETTER HEALTH,,,,,,49.445,253.704,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
LIPID PANEL STANDARD QST,3500000049,CDM,300,RC,80061,HCPCS,Facility,Both,,,255,102,AETNA,BETTER HEALTH,,,,,,36.975,36.975,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
CBC INCLUDES DIFF AND PLT QST,3500000051,CDM,300,RC,85025,HCPCS,Facility,Both,,,149,59.6,AETNA,BETTER HEALTH,,,,,,21.605,110.856,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
CBC H/H RBC INDICES WBC PLT QST,3500000055,CDM,300,RC,85027,HCPCS,Facility,Both,,,106,42.4,AETNA,BETTER HEALTH,,,,,,15.37,78.864,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PROTHROMBIN TIME-INR QST,3500000056,CDM,300,RC,85610,HCPCS,Facility,Both,,,97,38.8,AETNA,BETTER HEALTH,,,,,,14.065,14.065,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ANA SCREEN IFA WITH REFL TITER AND PATTERN QST,3500000057,CDM,300,RC,86038,HCPCS,Facility,Both,,,254,101.6,AETNA,BETTER HEALTH,,,,,,36.83,36.83,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RPR DX WITH REFL TITER AND CONFIRMATORY TESTING QST,3500000058,CDM,300,RC,86592,HCPCS,Facility,Both,,,83,33.2,AETNA,BETTER HEALTH,,,,,,12.035,12.035,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
FTA-ABS QST,3500000066,CDM,300,RC,86780,HCPCS,Facility,Both,,,92,36.8,AETNA,BETTER HEALTH,,,,,,13.34,13.34,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
FERRITIN QST,3500000067,CDM,300,RC,82728,HCPCS,Facility,Both,,,210,84,AETNA,BETTER HEALTH,,,,,,30.45,30.45,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
FOLATE SERUM QST,3500000068,CDM,300,RC,82746,HCPCS,Facility,Both,,,196,78.4,AETNA,BETTER HEALTH,,,,,,28.42,28.42,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HCG TOTAL QL QST,3500000069,CDM,300,RC,84703,HCPCS,Facility,Both,,,182,72.8,AETNA,BETTER HEALTH,,,,,,26.39,135.408,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
T3 FREE QST,3500000072,CDM,300,RC,84481,HCPCS,Facility,Both,,,259,103.6,AETNA,BETTER HEALTH,,,,,,37.555,37.555,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
T4 FREE QST,3500000073,CDM,300,RC,84439,HCPCS,Facility,Both,,,162,64.8,AETNA,BETTER HEALTH,,,,,,23.49,120.528,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
T4 THYROXINE TOTAL QST,3500000074,CDM,300,RC,84436,HCPCS,Facility,Both,,,128,51.2,AETNA,BETTER HEALTH,,,,,,18.56,95.232,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
TSH QST,3500000075,CDM,300,RC,84443,HCPCS,Facility,Both,,,266,106.4,AETNA,BETTER HEALTH,,,,,,38.57,197.904,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
VITAMIN B12 QST,3500000076,CDM,300,RC,82607,HCPCS,Facility,Both,,,160,64,AETNA,BETTER HEALTH,,,,,,23.2,23.2,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RPR MONITOR W/REFL QST,3500000079,CDM,300,RC,86592,HCPCS,Facility,Both,,,94,37.6,AETNA,BETTER HEALTH,,,,,,13.63,13.63,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ANA W/REFL REFL QST,3500000080,CDM,300,RC,86038,HCPCS,Facility,Both,,,254,101.6,AETNA,BETTER HEALTH,,,,,,36.83,36.83,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
URINALYSIS WITH REFLEX TO MICROSCOPIC QST,3500000084,CDM,300,RC,81003,HCPCS,Facility,Both,,,80,32,AETNA,BETTER HEALTH,,,,,,11.6,59.52,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
BILIRUBIN DIRECT QST,3500000124,CDM,300,RC,82248,HCPCS,Facility,Both,,,87,34.8,AETNA,BETTER HEALTH,,,,,,12.615,12.615,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS B CORE AB TOTAL QST,3500000133,CDM,300,RC,86704,HCPCS,Facility,Both,,,174,69.6,AETNA,BETTER HEALTH,,,,,,25.23,25.23,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS A AB TOTAL QST,3500000134,CDM,300,RC,86708,HCPCS,Facility,Both,,,161,64.4,AETNA,BETTER HEALTH,,,,,,23.345,23.345,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS A IGM ANTIBODY QST,3500000135,CDM,300,RC,86709,HCPCS,Facility,Both,,,142,56.8,AETNA,BETTER HEALTH,,,,,,20.59,20.59,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PROLACTIN QST,3500000144,CDM,300,RC,84146,HCPCS,Facility,Both,,,300,120,AETNA,BETTER HEALTH,,,,,,43.5,43.5,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
T3 TOTAL QST,3500000146,CDM,300,RC,84480,HCPCS,Facility,Both,,,228,91.2,AETNA,BETTER HEALTH,,,,,,33.06,33.06,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
ESTROGEN TOTAL SERUM QST,3500000179,CDM,300,RC,82672,HCPCS,Facility,Both,,,61,24.4,AETNA,BETTER HEALTH,,,,,,8.845,8.845,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
LYME DISEASE AB W/ REFL TO BLOT IGG IGM QST,3500000186,CDM,300,RC,86618,HCPCS,Facility,Both,,,165,66,AETNA,BETTER HEALTH,,,,,,23.925,23.925,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS C AB W/REFL TO HCV RNA QN PCR QST,3500000192,CDM,300,RC,86803,HCPCS,Facility,Both,,,226,90.4,AETNA,BETTER HEALTH,,,,,,32.77,32.77,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
CORTISOL A.M. QST,3500000193,CDM,300,RC,82533,HCPCS,Facility,Both,,,220,88,AETNA,BETTER HEALTH,,,,,,31.9,31.9,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
BASIC METABOLIC PANEL PLASMA QST,3500000200,CDM,300,RC,80048,HCPCS,Facility,Both,,,187,74.8,AETNA,BETTER HEALTH,,,,,,27.115,27.115,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS PANEL ACUTE W/REFLEX TO CONFIRMATION QST,3500000201,CDM,300,RC,80074,HCPCS,Facility,Both,,,660,264,AETNA,BETTER HEALTH,,,,,,95.7,95.7,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS B CORE ANTIBODY IGM QST,3500000203,CDM,300,RC,86705,HCPCS,Facility,Both,,,180,72,AETNA,BETTER HEALTH,,,,,,26.1,26.1,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
URINALYSIS COMPLETE QST,3500000206,CDM,300,RC,81001,HCPCS,Facility,Both,,,107,42.8,AETNA,BETTER HEALTH,,,,,,15.515,79.608,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
URINALYSIS COMPLETE W/REFLEX TO CULTURE QST,3500000207,CDM,300,RC,81001,HCPCS,Facility,Both,,,107,42.8,AETNA,BETTER HEALTH,,,,,,15.515,79.608,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HIV 1 RNA QUANTITATIVE REAL TIME PCR QST,3500000370,CDM,300,RC,87536,HCPCS,Facility,Both,,,934,373.6,AETNA,BETTER HEALTH,,,,,,135.43,135.43,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
VITAMIN D 25-OH TOTAL IA QST,3500000372,CDM,300,RC,82306,HCPCS,Facility,Both,,,450,180,AETNA,BETTER HEALTH,,,,,,65.25,65.25,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS C VIRAL RNA QUANTITATIVE REAL-TIME PCR QST,3500000379,CDM,300,RC,87522,HCPCS,Facility,Both,,,330,132,AETNA,BETTER HEALTH,,,,,,47.85,47.85,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
LYME DISEASE ANTIBODY IGG IMMUNOBLOT QST,3500000394,CDM,300,RC,86617,HCPCS,Facility,Both,,,231,92.4,AETNA,BETTER HEALTH,,,,,,33.495,33.495,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS B SURFACE ANTIGEN W/REFL CONFIRM QST,3500000415,CDM,300,RC,87340,HCPCS,Facility,Both,,,142,56.8,AETNA,BETTER HEALTH,,,,,,20.59,20.59,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
PSA TOTAL QST,3500000417,CDM,300,RC,84153,HCPCS,Facility,Both,,,328,131.2,AETNA,BETTER HEALTH,,,,,,47.56,47.56,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
FECAL GLOBIN BY IMMUNOCHEMISTRY QST,3500000418,CDM,300,RC,G0328,HCPCS,Facility,Both,,,99,39.6,AETNA,BETTER HEALTH,,,,,,14.355,14.355,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
HEPATITIS BE ANTIGEN QST,3500000479,CDM,300,RC,87350,HCPCS,Facility,Both,,,83,33.2,AETNA,BETTER HEALTH,,,,,,12.035,12.035,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
LEAD VENOUS QST,3500000483,CDM,300,RC,83655,HCPCS,Facility,Both,,,121,48.4,AETNA,BETTER HEALTH,,,,,,17.545,17.545,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
